id,platform,label,views,mean_activation,broca,amygdala,nacc,hippocampus,parietal,tpj,hook_strength,peak_region,peak_time_s,retention_slope
144,instagram,non_viral,,,,,,,,,,,,
145,instagram,non_viral,,,,,,,,,,,,
146,instagram,non_viral,,,,,,,,,,,,
147,instagram,non_viral,,,,,,,,,,,,
148,instagram,non_viral,,,,,,,,,,,,
149,instagram,non_viral,,,,,,,,,,,,
150,instagram,non_viral,,,,,,,,,,,,
151,instagram,non_viral,,,,,,,,,,,,
152,instagram,non_viral,,,,,,,,,,,,
153,instagram,non_viral,,,,,,,,,,,,
154,instagram,non_viral,,,,,,,,,,,,
155,instagram,non_viral,,,,,,,,,,,,
156,instagram,non_viral,,,,,,,,,,,,
157,instagram,non_viral,,,,,,,,,,,,
158,instagram,non_viral,,,,,,,,,,,,
159,instagram,non_viral,,,,,,,,,,,,
160,instagram,non_viral,,,,,,,,,,,,
161,instagram,non_viral,,,,,,,,,,,,
162,instagram,non_viral,,,,,,,,,,,,
163,instagram,non_viral,,,,,,,,,,,,
164,instagram,non_viral,,,,,,,,,,,,
165,instagram,non_viral,,,,,,,,,,,,
166,instagram,non_viral,,,,,,,,,,,,
167,instagram,non_viral,,,,,,,,,,,,
168,instagram,non_viral,,,,,,,,,,,,
169,instagram,non_viral,,,,,,,,,,,,
170,instagram,non_viral,,,,,,,,,,,,
171,instagram,non_viral,,,,,,,,,,,,
172,instagram,non_viral,,,,,,,,,,,,
173,instagram,non_viral,,,,,,,,,,,,
